sample,true,geodesic_tasks,geodesic_order,geodesic_ok,stock_tasks,stock_order,stock_ok,geodesic_precision,geodesic_recall,geodesic_f1,geodesic_jaccard,geodesic_hallucination,geodesic_omission,stock_precision,stock_recall,stock_f1,stock_jaccard,stock_hallucination,stock_omission
20,withdraw|swap,withdraw|swap,withdraw|swap,1,withdraw|swap,withdraw|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
21,withdraw,withdraw,withdraw,1,withdraw,withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
22,remove_liquidity,remove_liquidity,remove_liquidity,1,remove_liquidity,remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
23,swap|claim_rewards|deposit,deposit|swap|claim_rewards,swap|claim_rewards|deposit,1,deposit|swap|claim_rewards,swap|claim_rewards|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
24,remove_liquidity|withdraw|swap,withdraw|swap|remove_liquidity,remove_liquidity|withdraw|swap,1,withdraw|swap|remove_liquidity,remove_liquidity|withdraw|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
25,swap,swap,swap,1,swap,swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
26,deposit|repay,deposit|repay,deposit|repay,1,deposit|repay,deposit|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
27,deposit|add_liquidity|claim_rewards,deposit|add_liquidity|claim_rewards,deposit|add_liquidity|claim_rewards,1,deposit|add_liquidity|claim_rewards,deposit|add_liquidity|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
28,claim_rewards|withdraw,withdraw|claim_rewards,claim_rewards|withdraw,1,withdraw|claim_rewards,claim_rewards|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
29,deposit,deposit,deposit,1,deposit,deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
30,swap,swap,swap,1,swap,swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
31,swap|repay,repay|swap,swap|repay,1,repay|swap,swap|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
32,deposit|borrow|withdraw,deposit|withdraw|borrow,deposit|borrow|withdraw,1,deposit|withdraw|borrow,deposit|borrow|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
33,borrow|claim_rewards|add_liquidity,borrow|swap|add_liquidity|claim_rewards,borrow|swap|claim_rewards|add_liquidity,0,borrow|add_liquidity|claim_rewards,borrow|claim_rewards|add_liquidity,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
34,repay|withdraw,withdraw|repay,repay|withdraw,1,withdraw|repay,repay|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
35,add_liquidity|swap|borrow,borrow|swap|add_liquidity,add_liquidity|swap|borrow,1,borrow|swap|add_liquidity,add_liquidity|swap|borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
36,claim_rewards,claim_rewards,claim_rewards,1,claim_rewards,claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
37,withdraw|claim_rewards,withdraw|claim_rewards,withdraw|claim_rewards,1,withdraw|claim_rewards,withdraw|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
38,remove_liquidity|deposit|claim_rewards,deposit|remove_liquidity|claim_rewards,remove_liquidity|deposit|claim_rewards,1,deposit|remove_liquidity|claim_rewards,remove_liquidity|deposit|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
39,repay|deposit|claim_rewards,deposit|repay|claim_rewards,repay|deposit|claim_rewards,1,deposit|repay|claim_rewards,repay|deposit|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
40,withdraw,withdraw,withdraw,1,withdraw,withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
41,withdraw|deposit|claim_rewards,deposit|withdraw|claim_rewards,withdraw|deposit|claim_rewards,1,deposit|withdraw|claim_rewards,withdraw|deposit|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
42,add_liquidity,add_liquidity|claim_rewards,add_liquidity|claim_rewards,0,add_liquidity,add_liquidity,1,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
43,remove_liquidity|swap|repay,repay|swap|remove_liquidity,remove_liquidity|swap|repay,1,repay|swap|remove_liquidity,remove_liquidity|swap|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
44,repay,repay,repay,1,repay,repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
45,withdraw|borrow|claim_rewards,withdraw|borrow|claim_rewards,withdraw|borrow|claim_rewards,1,withdraw|borrow|claim_rewards,withdraw|borrow|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
46,swap,swap,swap,1,swap,swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
47,swap|deposit|withdraw,deposit|withdraw|swap,swap|deposit|withdraw,1,deposit|withdraw|swap,swap|deposit|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
48,add_liquidity|remove_liquidity|withdraw,withdraw|add_liquidity|remove_liquidity|claim_rewards,add_liquidity|claim_rewards|remove_liquidity|withdraw,0,withdraw|add_liquidity|remove_liquidity,add_liquidity|remove_liquidity|withdraw,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
49,swap|borrow|claim_rewards,borrow|swap|claim_rewards,swap|borrow|claim_rewards,1,borrow|swap|claim_rewards,swap|borrow|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
50,withdraw|remove_liquidity|repay,withdraw|repay|remove_liquidity,withdraw|remove_liquidity|repay,1,withdraw|repay|remove_liquidity,withdraw|remove_liquidity|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
51,repay|add_liquidity|claim_rewards,repay|add_liquidity|claim_rewards,repay|add_liquidity|claim_rewards,1,repay|add_liquidity|claim_rewards,repay|add_liquidity|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
52,withdraw|remove_liquidity|borrow,withdraw|borrow|remove_liquidity,withdraw|remove_liquidity|borrow,1,withdraw|borrow|remove_liquidity,withdraw|remove_liquidity|borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
53,swap|claim_rewards|add_liquidity,swap|add_liquidity|claim_rewards,swap|claim_rewards|add_liquidity,1,swap|add_liquidity|claim_rewards,swap|claim_rewards|add_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
54,deposit|swap|borrow,deposit|borrow|swap,deposit|swap|borrow,1,deposit|borrow|swap,deposit|swap|borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
55,deposit|remove_liquidity|add_liquidity,deposit|add_liquidity|remove_liquidity,deposit|remove_liquidity|add_liquidity,1,deposit|add_liquidity|remove_liquidity,deposit|remove_liquidity|add_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
56,add_liquidity|claim_rewards|repay,repay|add_liquidity|claim_rewards,add_liquidity|claim_rewards|repay,1,repay|add_liquidity|claim_rewards,add_liquidity|claim_rewards|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
57,borrow|remove_liquidity|deposit,deposit|borrow|swap|remove_liquidity,borrow|swap|remove_liquidity|deposit,0,deposit|borrow|remove_liquidity,borrow|remove_liquidity|deposit,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
58,swap,swap,swap,1,swap,swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
59,withdraw|remove_liquidity,withdraw|remove_liquidity,withdraw|remove_liquidity,1,withdraw|remove_liquidity,withdraw|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
60,withdraw|remove_liquidity,withdraw|remove_liquidity,withdraw|remove_liquidity,1,withdraw|remove_liquidity,withdraw|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
61,add_liquidity,add_liquidity|claim_rewards,add_liquidity|claim_rewards,0,add_liquidity,add_liquidity,1,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
62,withdraw|remove_liquidity|deposit,deposit|withdraw|remove_liquidity,withdraw|remove_liquidity|deposit,1,deposit|withdraw|remove_liquidity,withdraw|remove_liquidity|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
63,withdraw|deposit,deposit|withdraw,withdraw|deposit,1,deposit|withdraw,withdraw|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
64,withdraw|borrow|add_liquidity,withdraw|borrow|add_liquidity,withdraw|borrow|add_liquidity,1,withdraw|borrow|add_liquidity,withdraw|borrow|add_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
65,borrow,borrow|swap,borrow|swap,0,borrow,borrow,1,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
66,add_liquidity|withdraw,withdraw|add_liquidity|claim_rewards,add_liquidity|claim_rewards|withdraw,0,withdraw|add_liquidity,add_liquidity|withdraw,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0
67,swap|repay,repay|swap,swap|repay,1,repay|swap,swap|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
68,deposit|repay,deposit|repay,deposit|repay,1,deposit|repay,deposit|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
69,deposit|remove_liquidity|claim_rewards,deposit|remove_liquidity|claim_rewards,deposit|remove_liquidity|claim_rewards,1,deposit|remove_liquidity|claim_rewards,deposit|remove_liquidity|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
70,repay|remove_liquidity,repay|remove_liquidity,repay|remove_liquidity,1,repay|remove_liquidity,repay|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
71,remove_liquidity|claim_rewards,remove_liquidity|claim_rewards,remove_liquidity|claim_rewards,1,remove_liquidity|claim_rewards,remove_liquidity|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
72,borrow|swap,borrow|swap,borrow|swap,1,borrow|swap,borrow|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
73,remove_liquidity,remove_liquidity,remove_liquidity,1,remove_liquidity,remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
74,borrow|add_liquidity,borrow|add_liquidity|claim_rewards,borrow|add_liquidity|claim_rewards,0,borrow|add_liquidity,borrow|add_liquidity,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0
75,borrow|add_liquidity|deposit,deposit|borrow|add_liquidity|claim_rewards,borrow|add_liquidity|claim_rewards|deposit,0,deposit|borrow|add_liquidity,borrow|add_liquidity|deposit,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
76,remove_liquidity|claim_rewards|swap,swap|remove_liquidity|claim_rewards,remove_liquidity|claim_rewards|swap,1,swap|remove_liquidity|claim_rewards,remove_liquidity|claim_rewards|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
77,remove_liquidity|claim_rewards,remove_liquidity|claim_rewards,remove_liquidity|claim_rewards,1,remove_liquidity|claim_rewards,remove_liquidity|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
78,add_liquidity|repay|swap,repay|swap|add_liquidity|claim_rewards,add_liquidity|claim_rewards|repay|swap,0,repay|swap|add_liquidity,add_liquidity|repay|swap,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
79,borrow,borrow,borrow,1,borrow,borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
80,withdraw|borrow,withdraw|borrow,withdraw|borrow,1,withdraw|borrow,withdraw|borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
81,remove_liquidity|swap,swap|remove_liquidity,remove_liquidity|swap,1,swap|remove_liquidity,remove_liquidity|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
82,add_liquidity,add_liquidity,add_liquidity,1,add_liquidity,add_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
83,claim_rewards,claim_rewards,claim_rewards,1,claim_rewards,claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
84,borrow|remove_liquidity,borrow|swap|remove_liquidity,borrow|swap|remove_liquidity,0,borrow|remove_liquidity,borrow|remove_liquidity,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0
85,add_liquidity,add_liquidity,add_liquidity,1,add_liquidity,add_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
86,deposit|remove_liquidity|borrow,deposit|borrow|remove_liquidity,deposit|remove_liquidity|borrow,1,deposit|borrow|remove_liquidity,deposit|remove_liquidity|borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
87,repay|deposit,deposit|repay,repay|deposit,1,deposit|repay,repay|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
88,deposit|claim_rewards|add_liquidity,deposit|add_liquidity|claim_rewards,deposit|claim_rewards|add_liquidity,1,deposit|add_liquidity|claim_rewards,deposit|claim_rewards|add_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
89,swap,swap,swap,1,swap,swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
90,remove_liquidity|swap,swap|remove_liquidity,remove_liquidity|swap,1,swap|remove_liquidity,remove_liquidity|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
91,claim_rewards|deposit,deposit|claim_rewards,claim_rewards|deposit,1,deposit|claim_rewards,claim_rewards|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
92,swap|remove_liquidity|deposit,deposit|swap|remove_liquidity,swap|remove_liquidity|deposit,1,deposit|swap|remove_liquidity,swap|remove_liquidity|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
93,claim_rewards,claim_rewards,claim_rewards,1,claim_rewards,claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
94,claim_rewards|remove_liquidity,remove_liquidity|claim_rewards,claim_rewards|remove_liquidity,1,remove_liquidity|claim_rewards,claim_rewards|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
95,deposit|repay|swap,deposit|repay|swap,deposit|repay|swap,1,deposit|repay|swap,deposit|repay|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
96,borrow,borrow|swap,borrow|swap,0,borrow,borrow,1,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
97,claim_rewards,claim_rewards,claim_rewards,1,claim_rewards,claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
98,withdraw|deposit,deposit|withdraw,withdraw|deposit,1,deposit|withdraw,withdraw|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
99,swap|remove_liquidity,swap|remove_liquidity,swap|remove_liquidity,1,swap|remove_liquidity,swap|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
100,add_liquidity,add_liquidity|claim_rewards,add_liquidity|claim_rewards,0,add_liquidity,add_liquidity,1,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
101,borrow|swap|add_liquidity,borrow|swap|add_liquidity|claim_rewards,borrow|swap|add_liquidity|claim_rewards,0,borrow|swap|add_liquidity,borrow|swap|add_liquidity,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
102,repay|borrow|deposit,deposit|borrow|repay|swap,repay|borrow|swap|deposit,0,deposit|borrow|repay,repay|borrow|deposit,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
103,borrow|withdraw,withdraw|borrow,borrow|withdraw,1,withdraw|borrow,borrow|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
104,withdraw,withdraw,withdraw,1,withdraw,withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
105,borrow|add_liquidity,borrow|swap|add_liquidity|claim_rewards,borrow|swap|add_liquidity|claim_rewards,0,borrow|add_liquidity,borrow|add_liquidity,1,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
106,claim_rewards|remove_liquidity,remove_liquidity|claim_rewards,claim_rewards|remove_liquidity,1,remove_liquidity|claim_rewards,claim_rewards|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
107,borrow|add_liquidity|remove_liquidity,borrow|swap|add_liquidity|remove_liquidity|claim_rewards,borrow|swap|add_liquidity|claim_rewards|remove_liquidity,0,borrow|add_liquidity|remove_liquidity,borrow|add_liquidity|remove_liquidity,1,0.6,1.0,0.7499999999999999,0.6,0.4,0.0,1.0,1.0,1.0,1.0,0.0,0.0
108,deposit|borrow|swap,deposit|borrow|swap,deposit|borrow|swap,1,deposit|borrow|swap,deposit|borrow|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
109,remove_liquidity|withdraw,withdraw|remove_liquidity,remove_liquidity|withdraw,1,withdraw|remove_liquidity,remove_liquidity|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
110,repay|withdraw,withdraw|repay,repay|withdraw,1,withdraw|repay,repay|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
111,repay|remove_liquidity,repay|remove_liquidity,repay|remove_liquidity,1,repay|remove_liquidity,repay|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
112,repay,repay,repay,1,repay,repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
113,remove_liquidity|add_liquidity,add_liquidity|remove_liquidity|claim_rewards,remove_liquidity|add_liquidity|claim_rewards,0,add_liquidity|remove_liquidity,remove_liquidity|add_liquidity,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0
114,claim_rewards|withdraw|deposit,deposit|withdraw|claim_rewards,claim_rewards|withdraw|deposit,1,deposit|withdraw|claim_rewards,claim_rewards|withdraw|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
115,deposit|add_liquidity,deposit|add_liquidity,deposit|add_liquidity,1,deposit|add_liquidity,deposit|add_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
116,borrow,borrow,borrow,1,borrow,borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
117,deposit,deposit,deposit,1,deposit,deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
118,swap|claim_rewards|deposit,deposit|swap|claim_rewards,swap|claim_rewards|deposit,1,deposit|swap|claim_rewards,swap|claim_rewards|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
119,swap|add_liquidity|borrow,borrow|swap|add_liquidity|claim_rewards,swap|add_liquidity|claim_rewards|borrow,0,borrow|swap|add_liquidity,swap|add_liquidity|borrow,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
120,add_liquidity,add_liquidity|claim_rewards,add_liquidity|claim_rewards,0,add_liquidity,add_liquidity,1,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
121,repay,repay,repay,1,repay,repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
122,borrow|claim_rewards,borrow|claim_rewards,borrow|claim_rewards,1,borrow|claim_rewards,borrow|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
