i,truth,keep,order,acc_exact,precision,recall,f1,hallucination,omission,abstain,conf,smax,smed
11,withdraw,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,withdraw,swap,add_liquidity,repay,borrow,remove_liquidity,deposit",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.011084458963171407,0.9660340377156994,0.9553260730676019
12,swap,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,add_liquidity,borrow,swap,deposit,claim_rewards,remove_liquidity,withdraw",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01443272927438406,0.9656008646657243,0.9516646087988783
13,"deposit,borrow","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,add_liquidity,deposit,repay,borrow,swap,withdraw,remove_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.002275786462091155,0.9659305210534438,0.9637322694503074
14,"withdraw,borrow","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,withdraw,deposit,borrow,swap,add_liquidity,claim_rewards,repay",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.0008123695301422139,0.9655770236561626,0.9647926183031381
15,"add_liquidity,claim_rewards,borrow","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,add_liquidity,claim_rewards,deposit,remove_liquidity,borrow,swap,withdraw",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.0019744879215017387,0.9662785887864254,0.9643706833840588
16,"deposit,claim_rewards,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,borrow,deposit,swap,claim_rewards,remove_liquidity,add_liquidity,withdraw",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.001306229037453109,0.9660038836735697,0.9647420613504215
17,claim_rewards,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,add_liquidity,borrow,claim_rewards,deposit,repay,withdraw,swap",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.014157830120815274,0.9653885255665315,0.9517207188209621
18,"borrow,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,borrow,remove_liquidity,claim_rewards,swap,repay,deposit,add_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.015037954888608002,0.9656139256995012,0.9510930670450054
19,"repay,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,borrow,repay,remove_liquidity,withdraw,add_liquidity,swap,claim_rewards",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.013699765841255273,0.9657261724880517,0.95249595005818
20,"borrow,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,borrow,swap,deposit,repay,add_liquidity,remove_liquidity,claim_rewards",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.0011679062960765416,0.9656598894624003,0.9645320891976275
21,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,borrow,deposit,claim_rewards,swap,remove_liquidity,repay,withdraw",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.014985365946823065,0.9651544157112235,0.9506912235965836
22,deposit,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,remove_liquidity,borrow,deposit,swap,repay,claim_rewards,withdraw",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.016107306325416158,0.9657944187289327,0.9502380721790724
23,"deposit,borrow,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,deposit,repay,swap,remove_liquidity,borrow,add_liquidity,claim_rewards",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.002352524426164045,0.9660284547001264,0.9637558491640725
24,"swap,borrow,deposit","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,claim_rewards,add_liquidity,borrow,deposit,withdraw,remove_liquidity,repay",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.006580207171322568,0.9656205655245668,0.9592665821545189
25,add_liquidity,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,add_liquidity,borrow,withdraw,remove_liquidity,claim_rewards,swap,deposit",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.0038125555815889086,0.9652407768913311,0.9615607427798131
26,deposit,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,remove_liquidity,deposit,borrow,add_liquidity,repay,withdraw,claim_rewards",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.008592132191420836,0.9653635486959928,0.9570690174728091
27,"deposit,swap,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,withdraw,add_liquidity,repay,deposit,swap,borrow,claim_rewards",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.004424188508059434,0.9657470606045105,0.9614744135572875
28,"withdraw,swap","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,withdraw,add_liquidity,borrow,swap,claim_rewards,repay,deposit",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.007480648223604812,0.9660097200856675,0.9587833411891162
29,"remove_liquidity,claim_rewards,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,swap,repay,withdraw,remove_liquidity,claim_rewards,add_liquidity,deposit",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.007861050460620361,0.9665012071426878,0.9589034923830808
30,"deposit,withdraw,remove_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,deposit,swap,withdraw,add_liquidity,repay,remove_liquidity,borrow",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.000686828582686943,0.9649741314548386,0.9643113596398012
31,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,claim_rewards,withdraw,borrow,swap,remove_liquidity,repay,deposit",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.00863238851850143,0.9656313442087145,0.9572956392798535
32,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,add_liquidity,deposit,remove_liquidity,repay,withdraw,claim_rewards,swap",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01785610153672661,0.9653670782041383,0.9481293856354942
33,repay,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,repay,withdraw,claim_rewards,remove_liquidity,deposit,borrow,swap",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01002674531980145,0.9663961854746832,0.9567063770448909
34,"deposit,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,withdraw,deposit,borrow,claim_rewards,repay,remove_liquidity,swap",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.0035082953730102267,0.9658661659973337,0.9624776221962146
35,swap,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,claim_rewards,deposit,swap,borrow,remove_liquidity,repay,add_liquidity",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.020942188491121592,0.9652825921482768,0.9450674621562882
36,"borrow,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,repay,withdraw,borrow,swap,claim_rewards,add_liquidity,deposit",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.003426188785581357,0.9654671110244942,0.962159238435851
37,"remove_liquidity,deposit,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,remove_liquidity,add_liquidity,deposit,repay,withdraw,claim_rewards,swap",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.014726022613045906,0.9660190771210269,0.9517934583466942
38,"add_liquidity,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,add_liquidity,claim_rewards,withdraw,swap,deposit,remove_liquidity,borrow",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.012711945235162362,0.966110017744441,0.9538288801077193
39,"swap,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,swap,borrow,add_liquidity,claim_rewards,withdraw,remove_liquidity,deposit",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.0029394760776032067,0.9655392270776605,0.9627010476176753
40,"deposit,repay,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,deposit,repay,remove_liquidity,borrow,add_liquidity,withdraw,swap",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.006861898457300252,0.966404232945678,0.9597728652304928
41,"remove_liquidity,claim_rewards,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,borrow,swap,claim_rewards,withdraw,repay,add_liquidity,deposit",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.009753660282280278,0.9664596565766101,0.9570331374098229
42,"withdraw,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,withdraw,claim_rewards,remove_liquidity,add_liquidity,swap,deposit,borrow",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.0014355828472567723,0.9663823642530369,0.9649950423070224
43,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,add_liquidity,borrow,swap,withdraw,claim_rewards,remove_liquidity,repay",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01702983522335338,0.9650793910805353,0.9486442480729625
44,repay,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,withdraw,add_liquidity,remove_liquidity,borrow,repay,claim_rewards,swap",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.009298610259977346,0.9662139073148664,0.9572294607629663
45,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,borrow,claim_rewards,withdraw,remove_liquidity,add_liquidity,deposit,repay",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.011740237041387607,0.96492617559835,0.9535977135693741
46,swap,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,repay,remove_liquidity,swap,deposit,borrow,claim_rewards,add_liquidity",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01542025903073437,0.9657236192995959,0.9508319109378824
47,"deposit,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,deposit,withdraw,swap,claim_rewards,borrow,repay,add_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.00663287772442915,0.9658887233271852,0.9594821015299444
48,"repay,borrow","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,deposit,claim_rewards,repay,remove_liquidity,borrow,swap,add_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.010848892313746273,0.9654648762598018,0.954990651784544
49,"remove_liquidity,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,swap,deposit,claim_rewards,repay,withdraw,add_liquidity,borrow",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.004615928813999961,0.966286460450984,0.9618261509356056
50,"withdraw,repay,borrow","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,repay,remove_liquidity,borrow,swap,deposit,add_liquidity,claim_rewards",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.004495863603921539,0.9658281270669969,0.9614858955428682
51,add_liquidity,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,deposit,swap,claim_rewards,borrow,add_liquidity,repay,remove_liquidity",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.014787474125869159,0.9633389601777536,0.9490936102296685
52,"claim_rewards,deposit","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,claim_rewards,add_liquidity,deposit,withdraw,borrow,remove_liquidity,repay",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.016930769229920452,0.9666678095610061,0.950301379955319
53,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,borrow,swap,repay,remove_liquidity,deposit,add_liquidity,claim_rewards",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.0161110725111721,0.9639791209272449,0.948448383410714
54,repay,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,borrow,add_liquidity,claim_rewards,repay,remove_liquidity,withdraw,swap",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.005319990023318807,0.9660441281437022,0.9609047830198867
55,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,remove_liquidity,borrow,swap,deposit,repay,withdraw,add_liquidity",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.004716960243450885,0.9657392308329944,0.9611838772756096
56,"withdraw,repay,swap","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,remove_liquidity,add_liquidity,withdraw,repay,borrow,claim_rewards,deposit",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.010413836477688105,0.9674676695588293,0.9573926194505833
57,"borrow,withdraw,swap","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,borrow,remove_liquidity,withdraw,add_liquidity,deposit,swap,repay",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.0015031052320523478,0.9657308340748532,0.9642792390053995
58,"swap,claim_rewards,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,add_liquidity,swap,remove_liquidity,claim_rewards,deposit,repay,withdraw",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.0007286711030891535,0.9660562358349897,0.9653522985719769
59,"deposit,repay,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,deposit,add_liquidity,withdraw,repay,claim_rewards,swap,remove_liquidity",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.0047482465763915346,0.966237595008586,0.9616496606561009
60,remove_liquidity,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,add_liquidity,remove_liquidity,claim_rewards,repay,swap,withdraw,deposit",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.022537229545683674,0.9655386179211632,0.9437780524538293
61,swap,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,swap,repay,deposit,borrow,withdraw,add_liquidity,claim_rewards",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.007197012639743026,0.9661931761916271,0.9592394716901353
62,claim_rewards,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,add_liquidity,claim_rewards,borrow,withdraw,repay,swap,deposit",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.013570223899109956,0.9658460754587896,0.9527393279627236
63,remove_liquidity,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,swap,add_liquidity,deposit,remove_liquidity,borrow,withdraw,claim_rewards",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01787215131517174,0.9652645550896071,0.9480132009018558
64,"deposit,swap,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,repay,borrow,deposit,swap,add_liquidity,claim_rewards,withdraw",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.007922275258670647,0.9658938119477358,0.9582417352988313
65,"add_liquidity,swap,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,add_liquidity,swap,deposit,withdraw,borrow,repay,claim_rewards",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.010192818248576105,0.9661515248500354,0.9563037179566442
66,deposit,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,borrow,add_liquidity,deposit,repay,remove_liquidity,claim_rewards,withdraw",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.014679773632083356,0.9646775091550172,0.9505162616926448
67,"add_liquidity,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,repay,add_liquidity,claim_rewards,swap,remove_liquidity,deposit,borrow",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.009341214598933598,0.9660207962346387,0.9569969886699689
68,"remove_liquidity,deposit","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,remove_liquidity,repay,deposit,claim_rewards,swap,add_liquidity,withdraw",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.004291925520835654,0.9659018068562315,0.9617562282407597
69,"swap,add_liquidity,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,remove_liquidity,swap,add_liquidity,claim_rewards,withdraw,deposit,repay",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.00956938412840807,0.9659586547697836,0.9567150253501217
70,"withdraw,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,deposit,add_liquidity,withdraw,claim_rewards,borrow,remove_liquidity,swap",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.012897080410230586,0.9658093859923709,0.9533532646802589
71,"borrow,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,remove_liquidity,borrow,claim_rewards,deposit,repay,withdraw,add_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.018975907795091233,0.9662362823586618,0.9479010717563331
72,"borrow,deposit","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,claim_rewards,borrow,remove_liquidity,withdraw,deposit,add_liquidity,swap",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.006477234747914811,0.9658894228932392,0.9596331303606253
73,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,repay,remove_liquidity,withdraw,borrow,swap,add_liquidity,claim_rewards",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.0011337853250802602,0.9660884324086252,0.9649930955212294
74,"deposit,add_liquidity,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,claim_rewards,swap,deposit,add_liquidity,borrow,remove_liquidity,withdraw",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.008344244501018795,0.9664076728147931,0.9583437309051576
75,claim_rewards,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,claim_rewards,withdraw,deposit,borrow,swap,repay,add_liquidity",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01831493211226929,0.9655184070569922,0.9478350029785787
76,"deposit,repay","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,deposit,repay,withdraw,remove_liquidity,claim_rewards,swap,add_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.028146608503474644,0.9659261454236853,0.9387386003651463
77,"repay,claim_rewards,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,add_liquidity,remove_liquidity,repay,claim_rewards,borrow,withdraw,swap",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.0009010415943388342,0.9659234498548843,0.9650531126496169
78,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,borrow,claim_rewards,withdraw,remove_liquidity,deposit,add_liquidity,repay",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01668777379601242,0.9656856568813197,0.9495705130812139
79,"swap,add_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","repay,borrow,swap,withdraw,add_liquidity,deposit,claim_rewards,remove_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.0016276535291061816,0.9662279001532673,0.9646552159016604
80,"add_liquidity,repay,remove_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,withdraw,repay,claim_rewards,remove_liquidity,borrow,deposit,swap",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.007389757340196427,0.9658848294952521,0.9587471749866978
81,add_liquidity,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,add_liquidity,repay,remove_liquidity,withdraw,claim_rewards,borrow,swap",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.020309214678379157,0.9648308233779042,0.9452358670575847
82,"borrow,repay","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,borrow,swap,repay,deposit,add_liquidity,claim_rewards,remove_liquidity",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.012440761707169382,0.9661155273028011,0.9540963142460183
83,"withdraw,borrow,repay","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,claim_rewards,withdraw,borrow,swap,remove_liquidity,repay,deposit",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.01142077318989163,0.9664503684463251,0.955412757989001
84,"add_liquidity,swap,borrow","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,repay,add_liquidity,claim_rewards,withdraw,swap,borrow,deposit",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.007652361954428402,0.9659341454908343,0.9585424677853893
85,"claim_rewards,remove_liquidity","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,withdraw,claim_rewards,remove_liquidity,repay,borrow,deposit,swap",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.001183026067227096,0.9663938612889198,0.9652505921598056
86,"borrow,swap,claim_rewards","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,borrow,swap,add_liquidity,claim_rewards,repay,withdraw,remove_liquidity",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.01950810393497448,0.9655909665547016,0.9467541176204605
87,"withdraw,claim_rewards,deposit","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,withdraw,add_liquidity,remove_liquidity,claim_rewards,deposit,repay,swap",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.008176266294928644,0.9660861051328928,0.9581871278734877
88,deposit,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,claim_rewards,repay,deposit,remove_liquidity,swap,add_liquidity,withdraw",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.011846144421281643,0.9665871117648659,0.9551367812431379
89,"remove_liquidity,repay,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,borrow,remove_liquidity,repay,withdraw,swap,claim_rewards,add_liquidity",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.006277249800944626,0.9694835942841217,0.9633979035848763
90,borrow,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","deposit,withdraw,borrow,claim_rewards,swap,remove_liquidity,repay,add_liquidity",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.00858674923277654,0.9656071341181064,0.9573157078000456
